"","Gender","Location","Age","ss","sj","st","sd","so"
"1","M","A","T",62,59,38,0,52
"2","M","A","T",31,11,69,70,37
"3","M","A","T",13,96,87,51,65
"4","M","A","T",42,11,58,7,37
"5","M","A","T",88,80,12,60,60
"6","M","A","T",11,20,89,8,40
"7","M","A","T",36,11,64,45,37
"8","M","A","T",39,49,61,9,49
"9","M","A","T",93,17,7,11,39
"10","M","A","T",46,27,54,41,42
"11","M","A","T",78,58,22,10,52
"12","M","A","T",29,13,71,41,38
"13","M","A","T",96,34,4,61,45
"14","M","A","T",97,69,3,4,56
"15","M","A","T",87,46,13,57,49
"16","M","A","T",12,24,88,69,42
"17","M","A","T",15,22,85,74,41
"18","M","A","T",81,70,19,66,57
"19","M","A","T",52,58,48,51,53
"20","M","A","T",8,38,92,12,46
"21","M","A","T",10,18,90,49,39
"22","M","A","T",5,46,95,36,49
"23","M","A","T",38,11,62,14,37
"24","M","A","T",74,49,26,41,50
"25","M","A","T",8,24,92,27,41
"26","M","A","T",12,78,88,17,59
"27","M","A","T",57,25,43,69,42
"28","M","A","T",24,54,76,77,52
"29","M","A","T",31,31,69,9,43
"30","M","A","T",26,7,74,14,35
"31","M","A","T",86,97,14,72,66
"32","M","A","T",32,7,68,40,36
"33","M","A","T",84,55,16,68,52
"34","M","A","T",72,62,28,1,53
"35","M","A","T",21,24,79,56,41
"36","M","A","T",22,2,78,28,34
"37","M","A","T",3,87,97,76,62
"38","M","A","T",67,27,33,63,43
"39","M","A","T",70,21,30,69,41
"40","M","A","T",5,99,95,19,66
"41","M","A","T",64,50,36,33,50
"42","M","A","T",3,73,97,73,58
"43","M","A","T",45,74,55,31,58
"44","M","A","T",81,97,19,59,66
"45","M","A","T",18,40,82,64,47
"46","M","A","T",68,42,32,53,47
"47","M","A","T",23,33,77,14,44
"48","M","A","T",92,21,8,2,40
"49","M","A","T",15,63,85,0,54
"50","M","A","T",87,19,13,5,39
"51","M","A","T",38,48,62,50,49
"52","M","A","T",48,67,52,1,55
"53","M","A","T",18,19,82,31,40
"54","M","A","T",79,58,21,10,52
"55","M","A","T",19,64,81,22,54
"56","M","A","T",88,12,12,51,37
"57","M","A","T",47,61,53,17,53
"58","M","A","T",80,77,20,67,59
"59","M","A","T",61,25,39,4,41
"60","M","A","T",53,19,47,21,39
"61","M","A","T",91,8,9,6,36
"62","M","A","T",71,18,29,6,39
"63","M","A","T",19,6,81,48,35
"64","M","A","T",91,27,9,51,42
"65","M","A","T",93,14,7,52,38
"66","M","A","T",2,32,98,7,44
"67","M","A","T",71,83,29,7,60
"68","M","A","T",37,43,63,6,47
"69","M","A","T",30,4,70,65,35
"70","M","A","T",56,54,44,49,51
"71","M","A","T",12,32,88,23,44
"72","M","A","T",72,73,28,23,57
"73","M","A","T",44,99,56,55,66
"74","M","A","T",83,68,17,59,56
"75","M","A","T",3,17,97,52,39
"76","M","A","T",8,3,92,40,34
"77","M","A","T",14,61,86,36,53
"78","M","A","T",14,19,86,15,39
"79","M","A","T",48,17,52,11,39
"80","M","A","T",0,18,100,59,40
"81","M","A","T",52,46,48,15,48
"82","M","A","T",24,25,76,39,42
"83","M","A","T",64,93,36,5,64
"84","M","A","T",13,71,87,65,57
"85","M","A","T",97,54,3,40,51
"86","M","A","T",39,90,61,16,63
"87","M","A","T",36,89,64,3,62
"88","M","A","T",11,45,89,52,48
"89","M","A","T",34,0,66,67,34
"90","M","A","T",54,24,46,62,42
"91","M","A","T",96,0,4,45,33
"92","M","A","T",23,34,77,0,44
"93","M","A","T",5,12,95,66,38
"94","M","A","T",2,59,98,11,53
"95","M","A","T",21,93,79,73,64
"96","M","A","T",86,14,14,33,38
"97","M","A","T",58,93,42,43,64
"98","M","A","T",81,15,19,37,38
"99","M","A","T",85,7,15,31,36
"100","M","A","T",63,43,37,57,48
"101","M","A","T",58,34,42,51,45
"102","M","A","T",8,32,92,53,44
"103","M","A","T",68,68,32,61,56
"104","M","A","T",64,96,36,76,65
"105","M","A","T",86,75,14,73,58
"106","M","A","T",58,15,42,62,39
"107","M","A","T",47,50,53,7,50
"108","M","A","T",7,22,93,16,40
"109","M","A","T",14,31,86,78,44
"110","M","A","T",83,58,17,70,53
"111","M","A","T",51,80,49,46,60
"112","M","A","T",11,35,89,43,45
"113","M","A","T",39,83,61,31,61
"114","M","A","T",74,67,26,37,55
"115","M","A","T",34,56,66,34,52
"116","M","A","T",20,21,80,26,40
"117","M","A","T",65,17,35,51,39
"118","M","A","T",48,71,52,61,57
"119","M","A","T",7,76,93,33,58
"120","M","A","T",64,13,36,1,37
"121","M","A","T",26,44,74,3,48
"122","M","A","T",95,87,5,19,62
"123","M","A","T",61,19,39,71,40
"124","M","A","T",13,14,87,18,38
"125","M","A","T",66,29,34,70,43
"126","M","A","T",4,50,96,11,50
"127","M","A","T",39,39,61,66,47
"128","M","A","T",59,30,41,42,43
"129","M","A","T",54,47,46,58,49
"130","M","A","T",54,69,46,16,56
"131","M","A","T",59,69,41,29,56
"132","M","A","T",58,31,42,8,43
"133","M","A","T",4,47,96,45,49
